title,combined
Quiz Show,televis tvshow manipul johnturturro robmorrow ralphfiennes robertredford history drama
Picture Bride,hawaii arrangedmarriag culturaldiffer youkikudoh akiratakayama tamlyntomita kayohatta drama history
Queen Margot,marriageofconveni konfess royalti isabelleadjani danielauteuil jean-huguesanglade patricechéreau drama history
The Quick and the Dead,gunsling reveng prairi sharonstone genehackman russellcrowe samraimi action western
Roommates,grandfathergrandsonrelationship roommat birthday peterfalk d.b.sweeney juliannemoore peteryates drama comedy
Prêt-à-Porter,pari hotelroom suspicionofmurd marcellomastroianni sophialoren jean-pierrecassel robertaltman drama comedy
Three Colors: Red,judg isol mannequin irènejacob jean-louistrintignant jean-pierrelorit krzysztofkieślowski drama mystery romance
Three Colors: Blue,pari compos pain juliettebinoche benoîtrégent florencepernel krzysztofkieślowski drama music mystery
Three Colors: White,hairdress sexualfrustr funer zbigniewzamachowski juliedelpy januszgajos krzysztofkieślowski comedy drama mystery
Rent-a-Kid,leslienielsen christopherlloyd mattmccoy fredgerber comedy family tvmovie
Relative Fear,therapist suspicion serialmurd darlannefluegel jamesbrolin martinneufeld georgemihalka horror drama
Stuart Saves His Family,alfranken laurasangiacomo vincentd'onofrio haroldramis comedy drama
The Swan Princess,princess swan michellenicastro jackpalance howardmcgillin richardrich animation
The Secret of Roan Inish,familyrelationship ireland seal jenicourtney eileencolgan micklally johnsayles drama family fantasy
The Specialist,explos reveng explosivesexpert sylvesterstallone sharonstone jameswoods luisllosa action thriller
Stargate,spacetravel teleport upris kurtrussell jamesspader jayedavidson rolandemmerich action adventure sciencefiction
The Santa Clause,holiday christmasparti santaclaus timallen judgereinhold wendycrewson johnpasquin fantasy drama comedy
The Shawshank Redemption,prison corrupt policebrut timrobbins morganfreeman bobgunton frankdarabont drama crime
Shallow Grave,roommat distrust overdos kerryfox christophereccleston ewanmcgregor dannyboyle crime thriller
Suture,amnesia betray blackandwhit dennishaysbert michaelharris melharris scottmcgehee drama thriller
Strawberry and Chocolate,gay cuba artist jorgeperugorría vladimircruz mirtaibarra tomásgutiérrezalea comedy drama
Swimming with Sharks,independentfilm kevinspacey frankwhaley michelleforbes georgehuang crime comedy
The Sum of Us,gay fathersonrelationship sydney jackthompson johnpolson deborahkennedy kevindowling comedy drama romance
Senior Trip,mattfrewer valeriemahaffey lawrencedane kellymakin comedy
To Live,gambl china childabus geyou gongli niuben zhangyimou drama romance war
Tank Girl,destroy dystopia reincarn loripetty ice-t naomiwatts racheltalalay action comedy fantasy
Tales from the Crypt: Demon Knight,prostitut key jesuschrist billyzane williamsadler jadapinkettsmith ernestr.dickerson horror comedy thriller
Star Trek: Generations,basedontvseri death explodingplanet patrickstewart jonathanfrakes brentspiner davidcarson sciencefiction action adventure
Tales from the Hood,prison childabus kukluxklan clarencewilliamsiii corbinbernsen davidalangrier rustycundieff crime horror thriller
Tom & Viv,willemdafoe mirandarichardson rosemaryharris briangilbert drama romance
Village of the Damned,alienlife-form villag bewusstlosigkeit christopherreeve kirstiealley lindakozlowski johncarpenter thriller horror sciencefiction
Tommy Boy,chrisfarley davidspade briandennehy petersegal comedy
Vanya on 42nd Street,independentfilm chekhov wallaceshawn juliannemoore larrypine louismalle drama romance
The Underneath,noir independentfilm citi petergallagher alisonelliott williamfichtner stevensoderbergh thriller crime
The Walking Dead,vietnam jungl blackamerican allenpayne eddiegriffin joemorton prestona.whitmoreii drama war
What's Eating Gilbert Grape,brotherbrotherrelationship mentallydis iowa johnnydepp leonardodicaprio juliettelewis lassehallström romance drama
Virtuosity,artificialintellig android hologram denzelwashington russellcrowe kellylynch brettleonard action crime sciencefiction
While You Were Sleeping,brotherbrotherrelationship chicago coma sandrabullock billpullman petergallagher jonturteltaub comedy drama romance
The War,vietnamveteran bulli child elijahwood kevincostner marewinningham jonavnet drama
Double Happiness,cultureclash immigr daughter sandraoh stephenchang alannahong minashum comedy romance
Muriel's Wedding,individu becominganadult dream tonicollette billhunter rachelgriffiths p.j.hogan drama comedy romance
The Baby-Sitters Club,friend camp summer schuylerfisk breblair rachaelleighcook melaniemayron comedy drama family
Ace Ventura: Pet Detective,dolphin mascot privatedetect jimcarrey seanyoung courteneycox tomshadyac comedy mystery
"The Adventures of Priscilla, Queen of the Desert",gay dragqueen homophobia terencestamp hugoweaving guypearce stephanelliott drama comedy
Backbeat,red-lightdisctrict stuartsutcliff boyfriendgirlfriend stephendorff ianhart sheryllee iainsoftley drama music
Bitter Moon,erotic wheelchair marriedcoupl hughgrant kristinscottthomas emmanuelleseigner romanpolanski thriller drama romance
Bullets Over Broadway,lover(female) talent mafiaboss johncusack diannewiest jennifertilly woodyallen action comedy thriller
Clear and Present Danger,assassin spi ambush harrisonford willemdafoe annearcher phillipnoyce action drama thriller
The Client,suicid brotherbrotherrelationship witnessprotect susansarandon tommyleejones mary-louiseparker joelschumacher drama thriller crime
"Corrina, Corrina",lossofmoth daughter friendship whoopigoldberg rayliotta tinamajorino jessienelson comedy drama family
Crooklyn,blackpeopl 1970s jazzmusician alfrewoodard delroylindo davidpatrickkelly spikelee comedy drama
The Crow,halloween arson detroit brandonlee rochelledavis erniehudson alexproyas fantasy action thriller
Cobb,basebal sport historicalfigur tommyleejones robertwuhl lolitadavidovich ronshelton drama
The Flintstones,manag jealousi badmother-in-law johngoodman elizabethperkins rickmoranis brianlevant fantasy comedy family
Forrest Gump,vietnamveteran hippi mentallydis tomhanks robinwright garysinise robertzemeckis comedy drama romance
Four Weddings and a Funeral,upperclass loveatfirstsight weddingvow hughgrant andiemacdowell jamesfleet mikenewell comedy drama romance
Higher Learning,racism violenc daterap omarepps kristyswanson michaelrapaport johnsingleton romance drama crime
I Like It Like That,puertorican love jail laurenvélez jonseda tomasmelly darnellmartin comedy drama romance
I Love Trouble,newspap adversari report nicknolte saulrubinek jamesrebhorn charlesshyer action comedy romance
It Could Happen to You,waitress cop lotteryticket nicolascage bridgetfonda rosieperez andrewbergman comedy drama romance
The Jungle Book,indianlead tiger feralchild jasonscottlee caryelwes lenaheadey stephensommers adventure drama family
"The Wonderful, Horrible Life of Leni Riefenstahl",nazi propaganda artists'lif leniriefenstahl marlenedietrich walterfrentz raymüller documentary foreign
The Lion King,lossofpar wildboar uncl jonathantaylorthomas matthewbroderick jamesearljones rogerallers family animation drama
Little Buddha,buddhist tibet reincarn keanureeves bridgetfonda chrisisaak bernardobertolucci drama history
New Nightmare,fire kidnap nightmar heatherlangenkamp robertenglund mikohughes wescraven horror thriller mystery
The Mask,dualident bank mockeri jimcarrey camerondiaz nancyfish chuckrussell romance comedy crime
Maverick,poker mississippi saloon melgibson jodiefoster jamesgarner richarddonner action adventure comedy
Mrs. Parker and the Vicious Circle,newyork alcohol prohibit jenniferjasonleigh campbellscott matthewbroderick alanrudolph drama
The Naked Gun 33⅓: The Final Insult,undercov spoof stateprison leslienielsen priscillapresley georgekennedy petersegal comedy crime
The Paper,newyork research success michaelkeaton robertduvall glennclose ronhoward comedy drama
Reality Bites,roommat yuppi generationsconfilct winonaryder benstiller janeanegarofalo benstiller drama
Red Rock West,sheriff wyom hitman nicolascage dennishopper laraflynnboyle johndahl crime drama thriller
Ri¢hie Ri¢h,famili liferaft privateairplan macaulayculkin johnlarroquette edwardherrmann donaldpetrie comedy family
Safe Passage,mother pain marriag susansarandon nickstahl samshepard robertallanackerman drama
The River Wild,river robber boston merylstreep davidstrathairn kevinbacon curtishanson action adventure crime
Speed,bomb airport bus keanureeves dennishopper sandrabullock jandebont action adventure crime
Speechless,polit love speechwrit michaelkeaton geenadavis christopherreeve ronunderwood comedy romance
Timecop,martialart timetravel sciencefict jean-claudevandamme miasara ronsilver peterhyams thriller sciencefiction action
True Lies,spi terrorist florida arnoldschwarzenegger jamieleecurtis tomarnold jamescameron action thriller
When a Man Loves a Woman,wifehusbandrelationship newlov famili andygarcía megryan ellenburstyn luismandoki drama romance
Wolf,adulteri heal bite jacknicholson christopherplummer jamesspader mikenichols fantasy
Wyatt Earp,gunsling gambl sheriff kevincostner dennisquaid genehackman lawrencekasdan drama action western
Bad Company,cia judg blackmail laurencefishburne ellenbarkin franklangella damianharris action crime romance
A Man of No Importance,gay dublin friendship albertfinney brendafricker michaelgambon surikrishnamma comedy drama
S.F.W.,lossofbroth hostag tvshow stephendorff reesewitherspoon jakebusey jeferylevy comedy drama
A Low Down Dirty Shame,fbi drugcrim violenc keenenivorywayans charless.dutton jadapinkettsmith keenenivorywayans action comedy crime
"Boys Life: Three Stories of Love, Lust, and Liberation",jamesandrews marybethaylesworth mikebarbour robertleeking drama
Colonel Chabert,gérarddepardieu fannyardant fabriceluchini yvesangelo drama
"Faster, Pussycat! Kill! Kill!",kill sportscar go-godanc turasatana haji loriwilliams russmeyer action crime
Jason's Lyric,familyrelationship fear relationship allenpayne jadapinkettsmith bokeemwoodbine dougmchenry crime drama romance
The Secret Adventures of Tom Thumb,stopmot nickupton deborahcollard frankpassingham daveborthwick animation sciencefiction
Street Fighter,dictat martialart hostag jean-claudevandamme raúljuliá ming-nawen stevene.desouza action adventure thriller
Coldblooded,hitman wound yoga michaelj.fox jasonpriestley kimberlywilliams-paisley wallacewolodarsky action comedy
Desert Winds,michaela.nickles adamant heathergraham michaela.nickles
Fall Time,prank independentfilm bankrobberi stevealden davidarquette stephenbaldwin paulwarner action adventure crime
The Fear,mannequin supernatur bmovi eddiebowz heathermedway annturkel vincentrobert horror thriller
Frank and Ollie,filmhistori animationfilmmak theodorethomas documentary
Girl in the Cadillac,robberi bank cadillac эрикаэлениак williammcnamara michaellerner lucasplatt romance adventure crime
Homage,obsess widow tragicev blythedanner frankwhaley sheryllee rosskaganmarks thriller drama
Mirage,edwardjamesolmos seanyoung jamesandronica paulwilliams action thriller
Open Season,televis satir robertwuhl tomselleck joepiscopo robertwuhl comedy
Dos Crímenes,damiánalcázar pedroarmendárizjr. doloresheredia robertosneider
Brother Minister: The Assassination of Malcolm X,malcolmx roscoeleebrowne jackbaxter documentary
Highlander: The Final Dimension,japan newyork scotland christopherlambert mariovanpeebles deborahkaraunger andrewmorahan action fantasy sciencefiction
Federal Hill,nicholasturturro anthonydesando libbylangdon michaelcorrente
In the Mouth of Madness,smalltown paranoia newhampshir samneill juliecarmen jürgenprochnow johncarpenter horror mystery thriller
8 Seconds,rodeo independentfilm cowboy lukeperry stephenbaldwin cynthiageary johng.avildsen drama romance
Above the Rim,sport duanemartin tupacamarushakur berniemac jeffpollack crime drama
Addams Family Values,jealousi babi brothersisterrelationship raúljuliá anjelicahuston christopherlloyd barrysonnenfeld comedy family fantasy
Martin Lawrence: You So Crazy,stand-upcomedi martinlawrence thomasschlamme comedy
The Age of Innocence,upperclass newyork lover danielday-lewis michellepfeiffer winonaryder martinscorsese drama romance
Airheads,radiost heavymet rockband brendanfraser stevebuscemi adamsandler michaellehmann comedy crime music
The Air Up There,sport kevinbacon charlesgitongamaina yolandavazquez paulmichaelglaser comedy family
Another Stakeout,staatsanwältin cop gangster richarddreyfuss emilioestevez rosieo'donnell johnbadham action comedy
